country,year,crime_rate
Austria,2013,3696.5299999999997
Austria,2014,3573.58
Austria,2015,3397.45
Austria,2016,4011.98
Austria,2017,3634.96
Austria,2018,3338.02
Austria,2019,3450.7200000000003
Austria,2020,3049.42
Austria,2021,2810.81
Austria,2022,3436.54
Austria,2023,2909.96
Belgium,2013,4838.86
Belgium,2014,4979.9
Belgium,2015,5117.610000000001
Belgium,2016,5383.18
Belgium,2017,5264.43
Belgium,2018,5271.23
Belgium,2019,5426.35
Belgium,2020,4515.64
Belgium,2021,4646.44
Belgium,2022,5174.26
Belgium,2023,4042.29
Bulgaria,2013,1131.29
Bulgaria,2014,1037.75
Bulgaria,2015,953.96
Bulgaria,2016,839.5
Bulgaria,2017,936.95
Bulgaria,2018,963.19
Bulgaria,2019,864.55
Bulgaria,2020,737.96
Bulgaria,2021,668.03
Bulgaria,2022,765.4399999999999
Bulgaria,2023,732.11
Croatia,2013,1073.41
Croatia,2014,918.84
Croatia,2015,958.37
Croatia,2016,1258.06
Croatia,2017,1216.8999999999999
Croatia,2018,1170.59
Croatia,2019,1241.69
Croatia,2020,1007.14
Croatia,2021,1005.9
Croatia,2022,1090.68
Croatia,2023,1033.94
Cyprus,2013,973.46
Cyprus,2014,880.17
Cyprus,2015,762.81
Cyprus,2016,732.98
Cyprus,2017,715.62
Cyprus,2018,458.82
Cyprus,2019,422.06
Cyprus,2020,371.4
Cyprus,2021,396.88
Cyprus,2022,460.02
Cyprus,2023,415.98
Czechia,2013,2609.94
Czechia,2014,2131.42
Czechia,2015,1665.22
Czechia,2016,1389.6299999999999
Czechia,2017,1274.9
Czechia,2018,1157.57
Czechia,2019,1167.01
Czechia,2020,965.01
Czechia,2021,906.59
Czechia,2022,1089.97
Czechia,2023,864.47
Denmark,2013,7853.710000000001
Denmark,2014,7267.44
Denmark,2015,6528.66
Denmark,2016,7213.38
Denmark,2017,7012.46
Denmark,2018,6492.57
Denmark,2019,6144.45
Denmark,2020,5442.06
Denmark,2021,4807.47
Denmark,2022,5502.77
Denmark,2023,4621.900000000001
Estonia,2013,1886.1200000000001
Estonia,2014,1774.4799999999998
Estonia,2015,1488.58
Estonia,2016,1463.8999999999999
Estonia,2017,1355.9299999999998
Estonia,2018,1228.38
Estonia,2019,1134.34
Estonia,2020,1092.2
Estonia,2021,1214.84
Estonia,2022,1212.51
Estonia,2023,1084.87
Finland,2013,3546.52
Finland,2014,3548.27
Finland,2015,3451.9500000000003
Finland,2016,4234.96
Finland,2017,3956.61
Finland,2018,3956.44
Finland,2019,4189.0
Finland,2020,4676.32
Finland,2021,4289.759999999999
Finland,2022,4361.8
Finland,2023,3735.1200000000003
France,2013,3999.5299999999997
France,2014,4002.72
France,2015,3915.9200000000005
France,2016,4725.33
France,2017,4059.5299999999997
France,2018,4056.31
France,2019,4144.200000000001
France,2020,4068.0099999999998
France,2021,4362.4400000000005
France,2022,4773.08
France,2023,4488.46
Germany,2013,3032.73
Germany,2014,3100.1099999999997
Germany,2015,3161.14
Germany,2016,4186.84
Germany,2017,3917.5099999999998
Germany,2018,3692.05
Germany,2019,3592.7599999999998
Germany,2020,3430.4800000000005
Germany,2021,3252.4900000000002
Germany,2022,3541.64
Germany,2023,2809.9700000000003
Greece,2013,1595.24
Greece,2014,1459.23
Greece,2015,1561.05
Greece,2016,1623.93
Greece,2017,1699.1799999999998
Greece,2018,1461.3600000000001
Greece,2019,1511.82
Greece,2020,1126.69
Greece,2021,1140.42
Greece,2022,1355.56
Greece,2023,1236.02
Hungary,2013,2192.4700000000003
Hungary,2014,1912.0500000000002
Hungary,2015,1886.58
Hungary,2016,1524.06
Hungary,2017,1274.53
Hungary,2018,1062.2
Hungary,2019,902.1899999999999
Hungary,2020,858.1299999999999
Hungary,2021,865.7099999999999
Hungary,2022,907.77
Hungary,2023,777.56
Ireland,2013,2983.45
Ireland,2014,2988.35
Ireland,2015,2743.59
Ireland,2016,2429.1600000000003
Ireland,2017,2536.9100000000003
Ireland,2018,2493.42
Ireland,2019,2568.29
Ireland,2020,2057.5
Ireland,2021,2066.8900000000003
Ireland,2022,2309.2799999999997
Ireland,2023,2083.0
Italy,2013,3205.07
Italy,2014,3016.72
Italy,2015,2809.19
Italy,2016,2948.91
Italy,2017,2809.19
Italy,2018,2752.5899999999997
Italy,2019,2636.61
Italy,2020,2123.2799999999997
Italy,2021,2477.12
Italy,2022,2744.9100000000003
Italy,2023,2158.1800000000003
Latvia,2013,1361.84
Latvia,2014,1404.73
Latvia,2015,1376.44
Latvia,2016,1587.76
Latvia,2017,1473.6699999999998
Latvia,2018,1436.19
Latvia,2019,1346.0
Latvia,2020,1301.69
Latvia,2021,1002.9499999999999
Latvia,2022,1063.73
Latvia,2023,958.11
Lithuania,2013,1384.9499999999998
Lithuania,2014,1397.04
Lithuania,2015,1196.82
Lithuania,2016,1232.19
Lithuania,2017,1146.63
Lithuania,2018,959.25
Lithuania,2019,854.47
Lithuania,2020,759.21
Lithuania,2021,687.59
Lithuania,2022,785.98
Lithuania,2023,644.82
Luxembourg,2013,4405.27
Luxembourg,2014,4848.09
Luxembourg,2015,3720.7
Luxembourg,2016,3598.63
Luxembourg,2017,2908.2400000000002
Luxembourg,2018,3227.04
Luxembourg,2019,3532.04
Luxembourg,2020,3627.5
Luxembourg,2021,3909.39
Luxembourg,2022,5132.96
Luxembourg,2023,5055.17
Malta,2013,2379.89
Malta,2014,2263.01
Malta,2015,2281.96
Malta,2016,2419.99
Malta,2017,2390.88
Malta,2018,2021.0100000000002
Malta,2019,1881.22
Malta,2020,1385.63
Malta,2021,1795.4
Malta,2022,1586.14
Malta,2023,1311.12
Netherlands,2013,4069.88
Netherlands,2014,3661.9700000000003
Netherlands,2015,3374.37
Netherlands,2016,3434.11
Netherlands,2017,2662.8999999999996
Netherlands,2018,2399.11
Netherlands,2019,2376.93
Netherlands,2020,2046.5
Netherlands,2021,1760.4899999999998
Netherlands,2022,2066.54
Netherlands,2023,2062.99
Poland,2013,1254.8700000000001
Poland,2014,1041.41
Poland,2015,903.4
Poland,2016,1143.54
Poland,2017,1168.3999999999999
Poland,2018,1119.75
Poland,2019,1250.24
Poland,2020,1196.97
Poland,2021,1322.0
Poland,2022,1289.76
Poland,2023,852.51
Portugal,2013,1878.12
Portugal,2014,1771.3700000000001
Portugal,2015,1760.23
Portugal,2016,1806.51
Portugal,2017,1770.83
Portugal,2018,1755.35
Portugal,2019,1750.35
Portugal,2020,1557.01
Portugal,2021,1529.57
Portugal,2022,1715.99
Portugal,2023,1282.46
Romania,2013,613.25
Romania,2014,1312.2
Romania,2015,857.47
Romania,2016,768.92
Romania,2017,887.0200000000001
Romania,2018,946.28
Romania,2019,796.78
Romania,2020,739.5
Romania,2021,774.11
Romania,2022,763.85
Romania,2023,757.6500000000001
Slovakia,2013,1044.49
Slovakia,2014,915.36
Slovakia,2015,736.87
Slovakia,2016,727.41
Slovakia,2017,689.26
Slovakia,2018,596.13
Slovakia,2019,515.99
Slovakia,2020,483.87
Slovakia,2021,403.37
Slovakia,2022,441.16
Slovakia,2023,408.99
Slovenia,2013,2799.6800000000003
Slovenia,2014,2455.04
Slovenia,2015,1913.49
Slovenia,2016,2160.33
Slovenia,2017,1970.72
Slovenia,2018,1797.93
Slovenia,2019,2159.06
Slovenia,2020,2046.4599999999998
Slovenia,2021,1488.6000000000001
Slovenia,2022,1732.04
Slovenia,2023,1728.7900000000002
Spain,2013,1472.47
Spain,2014,1368.3200000000002
Spain,2015,1451.8500000000001
Spain,2016,1743.94
Spain,2017,1765.47
Spain,2018,1912.32
Spain,2019,1984.45
Spain,2020,1739.56
Spain,2021,1827.64
Spain,2022,2234.57
Spain,2023,1352.96
Sweden,2013,7398.590000000001
Sweden,2014,7189.69
Sweden,2015,7175.58
Sweden,2016,9402.41
Sweden,2017,9633.69
Sweden,2018,9620.21
Sweden,2019,9423.61
Sweden,2020,9505.39
Sweden,2021,8984.87
Sweden,2022,8765.0
Sweden,2023,6333.44
